Name,Age,Date of Birth,Salary,Location
Charlie Black,,1980-11-13,294057.0,New York
Charlie Black,,1980-11-13,294057.0,New York
Charlie Black,20.0,1973-05-06,,New York
David Green,34.0,,1689074.0,Chicago
Alice Brown,57.0,1984-01-27,,
Charlie Black,,,1451852.0,Houston
David Green,25.0,,1652410.0,
Jane Smith,,,1241523.0,Houston
Jane Smith,40.0,,,Los Angeles
John Doe,,1999-12-28,93670.0,New York
Charlie Black,,,1451852.0,Houston
Jane Smith,,,,Chicago
Bob White,,,1200475.0,Chicago
John Doe,,,1147889.0,Chicago
Bob White,,1985-06-07,1303887.0,Chicago
Bob White,,,,Chicago
Bob White,,,1924010.0,New York
David Green,57.0,,1669479.0,Chicago
Charlie Black,,,,New York
John Doe,48.0,1999-11-05,,Houston
Bob White,,,,Chicago
David Green,51.0,2005-02-24,,New York
Charlie Black,,,,Chicago
Bob White,27.0,,,Phoenix
John Doe,29.0,,,Chicago
John Doe,22.0,,1701921.0,Los Angeles
Charlie Black,31.0,,1792036.0,New York
Charlie Black,,,,
John Doe,,1995-08-04,1678003.0,New York
John Doe,,,,New York
